physical_cell,execution_count,cell_type,stage,classification,scientific_role,inputs,outputs,frozen_artifacts,output_blocks,source_lines,source_sha256,notes
379,10,code,Stage20,canonical,Stage20.1C16-A — Transition Cohort Manifest Freeze | Freeze the four already-observed V1 transition cohorts: | A: exact -> exact = 295 | B: exact -> absent = 340,stage20_1c15r_v1_frozen_tcp_payload_residual_validation.json; {STAGE_ID} BLOCKED: required V1 runtime objects are missing:\n  -,"Expected:\n{json.dumps(EXPECTED_TRANSITIONS, indent=2)}\n; Actual:\n{json.dumps(actual_transition_counts, indent=2)}",,1,915,ffa442d9637933e8c40f0753f7d31b12b3a256fe2c0e3cd79b82d979f952ae77,Physical 1-based order is canonical; execution_count is historical evidence only.
380,1,code,Stage20,recovery,Stage20 Recovery Preflight — Fresh Kaggle Session | NO PCAP read | NO label read | NO download,/kaggle/working/stage20_development_sources/; /kaggle/input; \nMatching files under /kaggle/input:; stage20_1c15r_v1_frozen_tcp_payload_residual_validation.json,,,1,219,53b404c410585450148376dd90367a1618736d71be5b1dfa81d7ccaf8eb8607d,Physical 1-based order is canonical; execution_count is historical evidence only.
381,2,code,Stage20,recovery,Stage20-R1 — Exact Frozen Repository Recovery | Restore the Git repository after total Kaggle reset and | pin it to the exact frozen Stage20 C15-R/V1 commit. | DOES NOT:,docs/STAGE20_1C14_TCP_PAYLOAD_SEMANTICS_FREEZE.md; docs/STAGE20_1C15R_D5_SOURCE_FAITHFUL_BASELINE_ERRATUM.md; docs/STAGE20_1C15R_V1_TCP_PAYLOAD_VALIDATION.md; results/stage20_c15_payload_validation/; stage20_1c15r_v1_frozen_tcp_payload_residual_validation.json,,docs/STAGE20_1C11_JNETPCAP_FORENSIC_CHECKPOINT.md; docs/STAGE20_1C14_TCP_PAYLOAD_SEMANTICS_FREEZE.md; docs/STAGE20_1C15R_D5_SOURCE_FAITHFUL_BASELINE_ERRATUM.md; docs/STAGE20_1C15R_V1_TCP_PAYLOAD_VALIDATION.md; results/stage20_c15_payload_validation/,1,227,8e567ae25662fae27ad8e4a4383cbb8ddc22d571ed80eeb895a1ca57e7816ab9,Physical 1-based order is canonical; execution_count is historical evidence only.
382,3,code,Stage20,recovery,Stage20-R2 — Exact Monday Development Source Recovery | Restore the two exact Stage20 Monday development artifacts: | PCAP: | Monday-WorkingHours.pcap,/kaggle/working/stage20_development_sources; https://huggingface.co/datasets/; Existing PCAP is larger than the frozen source.\n; frozen source.\n; Repository working tree changed during source recovery:\n,Download failed for:\n{destination}\n\n,,2,514,75915185c82e473adaeb90cfcbda01c058497cbc21615560de1cf9672d39af75,Physical 1-based order is canonical; execution_count is historical evidence only.
383,4,code,Stage20,recovery,Stage20-R2 — Exact Monday Source Recovery via Hugging Face Xet | USES: | huggingface_hub + hf_xet | DOES NOT USE:,/kaggle/working/stage20_development_sources; \nXet downloads complete.; \nStarting Xet download...; \nVerifying frozen source identities...,,,5,655,7192a40cdb10198c7903926fcb969c8e3dc74e8e1c7a8e8c3d5cc563dc7b0552,Physical 1-based order is canonical; execution_count is historical evidence only.
384,5,code,Stage20,recovery,Stage20-R3A — Recovery Code Inventory | Find any committed Stage20 reconstruction/recovery code | before rebuilding runtime state. | NO PCAP READ,,,,1,297,f2745ecb5315b006877b0cc36901cb0f9f23170efcdbd5017453e2d847e8e503,Physical 1-based order is canonical; execution_count is historical evidence only.
385,6,code,Stage20,recovery,Stage20-R3B — Pinned CICFlowMeter Source Recovery | Recover and inspect the exact historical CICFlowMeter | runtime snapshot previously pinned by Stage20. | PINNED SNAPSHOT,\nRelevant Java source files:; copy of each required Java source file.\n; \nRequired Java sources:,,,1,625,e4b92f7d6ae81f99c02df8033b3d67533b3b2fab547e8cac1da0ce5e6cfbf7c3,Physical 1-based order is canonical; execution_count is historical evidence only.
386,7,code,Stage20,canonical,Stage20-R3C — Historical Source Semantic Reconciliation | Compare the two already-frozen CICFlowMeter source roles: | A) Historical public source snapshot used for source-derived | reconstruction semantics:,\nSource roles:; \nSource blob identities:,,,1,796,5b3bc9ec24aa910cdd8a75011739d1b0429ccb66f923d422f227ffc115d38b18,Physical 1-based order is canonical; execution_count is historical evidence only.
387,12,code,Stage20,canonical,Stage20-R3D-D1 — Packet 2765 Decoder Diagnostic | Determine why an IPv4 packet whose protocol field is 17 | does not expose a Scapy UDP layer. | BOUND:,stage20_development_sources/,,,1,445,5d646f48130bff33c893b568c2749e7a4037e80e89a19815ca6cdafc589aad6c,Physical 1-based order is canonical; execution_count is historical evidence only.
388,13,code,Stage20,repair,Stage20-R3D — Deterministic First-50k Runtime Reconstruction | FULL REPAIRED VERSION — fragment-safe parser | FROZEN SEMANTICS: | historical flow/export source:,stage20_development_sources/; stage20_c15_payload_validation/; frozen_tcp_payload_residual_validation.json; source-faithful baseline membership drift\n; source-faithful baseline multiset drift\n; \nSource-faithful baseline:,,,2,3208,7bca357abf0b17838387ab46e4118aba886c889ad735c198585fc3c944d07a87,Physical 1-based order is canonical; execution_count is historical evidence only.
389,14,code,Stage20,canonical,Stage20-R3D-D2 — Global S4 Mismatch Localization | Uses runtime objects already created by failed R3D. | NO PCAP reread. | NO label reread.,,,,1,291,9b8e91c4decb0f1d8f3f90d92d0429c9fa32142d6dc42d016834057e6a0577d7,Physical 1-based order is canonical; execution_count is historical evidence only.
390,16,code,Stage20,repair,Stage20-R3D-D4 — Restore Frozen Baseline Erratum | D3 correctly recovered the historical raw checkpoint: | 637 / 675 | Stage20.1C15-R-D5 subsequently froze TWO of those raw,{source_faithful_baseline_exact}/675; {source_faithful_corrected_exact}/675; source-faithful baseline != 635.\n,,,2,946,a89f06a15a33901cdcfebb6ef27a1f6e64d1ca0bc8005d9446ebe6adc467faeb,Physical 1-based order is canonical; execution_count is historical evidence only.
391,17,code,Stage20,canonical,Stage20-R3D-D4-D1 — Duration-case membership diagnostic | NO PCAP reread | NO label reread | NO reconstruction,,,,1,128,3e7bc8166cd65773010a9b8c16aec6a41970b2896b96e98bfc0ed7c429307422,Physical 1-based order is canonical; execution_count is historical evidence only.
392,16,code,Stage20,repair,Stage20-R3D-D4 — Restore Frozen Source-Faithful Erratum | CORRECTED VERSION | RAW recovered state: | baseline membership = 637 / 675,{source_faithful_baseline_exact}/675; {source_faithful_corrected_exact}/675,,,1,1019,ddeb483f98c544b381804d6a1b8c008bcc4d635248f158e61c9a843ba07a108b,Physical 1-based order is canonical; execution_count is historical evidence only.
393,1,code,Stage20,recovery,Stage20-R2-XET — Exact Monday Source Recovery | Restores ONLY: | Monday-WorkingHours.pcap | Monday traffic-label parquet,\nPCAP downloaded/cache-resolved:; \nLabel file downloaded/cache-resolved:; \nFrozen source revisions:,,,5,769,67b0f01fb5bcf12c1746dedb8b01b1152d13474bb2dd282830ab5b37fff19f4a,Physical 1-based order is canonical; execution_count is historical evidence only.
394,2,code,Stage20,recovery,Stage20 — Fresh Kaggle Runtime Bootstrap | Restores: | 1. GitHub repository at exact frozen Stage20 HEAD | 2. Scapy 2.6.1,\n[3/5] Preparing Monday source recovery...; \n[4/5] Downloading exact Monday PCAP...; \n[5/5] Downloading exact Monday labels...; \nFrozen source revisions:,,,5,1023,bfd0ec4ef0227dd54f2a450031df4959c3d586e5efa5e8269813cf63d79670cb,Physical 1-based order is canonical; execution_count is historical evidence only.
395,3,code,Stage20,repair,Stage20-R3D — Deterministic First-50k Runtime Reconstruction | FULL REPAIRED VERSION — fragment-safe parser | FROZEN SEMANTICS: | historical flow/export source:,stage20_development_sources/; stage20_c15_payload_validation/; frozen_tcp_payload_residual_validation.json; source-faithful baseline membership drift\n; source-faithful baseline multiset drift\n; \nSource-faithful baseline:,,,1,3208,7bca357abf0b17838387ab46e4118aba886c889ad735c198585fc3c944d07a87,Physical 1-based order is canonical; execution_count is historical evidence only.
396,7,code,Stage20,repair,Stage20 handoff source: :contentReference[oaicite:0]{index=0} | Stage20-R3D — FULL CORRECTED FROZEN RUNTIME RECONSTRUCTION | Scope: | * Monday only,/kaggle/working/stage20_development_sources/,,,1,1844,4bc33dfdb396caec8cfbcb9af4e3fa166af86a4203b7678ac0181302a3164b4f,Physical 1-based order is canonical; execution_count is historical evidence only.
397,5,code,Stage20,repair,Stage20-R3D PRE-RUN ENVIRONMENT REPAIR | Repair only the broken PyArrow installation. | Does NOT: | - read Monday PCAP,,,,1,98,ed207320a211346a94035ca42e24af835475f0e43fb714ccf347f992cfdb97d6,Physical 1-based order is canonical; execution_count is historical evidence only.
398,8,code,Stage20,canonical,Frozen Monday timestamps represent UTC.,/kaggle/working/stage20_development_sources/,,,2,211,b1a480299068751e5e3774c02cc2930f1ade3f58a1389ded57b9e13ab97abb5d,Physical 1-based order is canonical; execution_count is historical evidence only.
399,15,code,Stage20,canonical,Stage20-R3D — SOURCE-FAITHFUL BOUNDED RUNTIME RECONSTRUCTION | PRECONDITION: | label_counts already exists from the successful DuckDB Monday-label cell. | AUTHORIZED DATA:,/kaggle/working/stage20_development_sources/; Do NOT reload pandas/pyarrow; rerun only the successful DuckDB label cell.,,,2,1229,8350b64358adf9b8b5449435f2b89b0923c9621607298893b76a8ed1050be4e6,Physical 1-based order is canonical; execution_count is historical evidence only.
400,17,code,Stage20,canonical,Stage20-R3D-DIR1 — ISOLATE THE TWO DIRECTIONAL LENGTH-STAT ANOMALIES | PRECONDITION: | Run after the failed D5 continuation cell. | READS:,,,,2,474,e3216ca01244991110ad1049209c79a177d6f1aba5a77ec0399852262fc58c27,Physical 1-based order is canonical; execution_count is historical evidence only.
401,18,code,Stage20,canonical,Stage20-R3D-DIR2 — EXACT TWO-FLOW SOURCE-SEMANTICS CHECK | Runtime only. | No PCAP reread. | No label reread.,,,,1,201,e9401bda2694fc97598073b3097ba82c0d2e426f7249389d210da1706d77f70a,Physical 1-based order is canonical; execution_count is historical evidence only.
402,20,code,Stage20,canonical,Stage20-PERSIST-1 | PRESERVE CURRENT R3D / DIR2 STATE + INSTALL TOKEN-BASED PUSH HELPER | TOKEN: | Kaggle Secret name: GITHUB_TOKEN,The only two first-packet/stored-source orientation,,results/stage20_1c16_runtime_recovery/stage20_r3d_dir2_directional_semantics.json`; results/stage20_1c16_runtime_recovery/; docs/STAGE20_R3D_DIR2_DIRECTIONAL_SEMANTICS.md,3,698,1d1d23dbe5797e7998581a95a70ac6b68224ad8a7a605653380872716cbdb9d8,Physical 1-based order is canonical; execution_count is historical evidence only.
403,21,code,Stage20,canonical,"Stage20-PERSIST-1R — RECOVER FAILED COMMIT, THEN TOKEN PUSH + VERIFY | Preconditions: | - previous PERSIST-1 reached git commit and failed with exit 128 | - checkpoint files are already staged",,,results/stage20_1c16_runtime_recovery/; docs/STAGE20_R3D_DIR2_DIRECTIONAL_SEMANTICS.md,3,368,f867c7163e6731f90506ed982eb87e7ee2b9082e7bf53815ded97bcc1ffac75c,Physical 1-based order is canonical; execution_count is historical evidence only.
404,22,code,Stage20,canonical,Stage20-PERSIST-2 — CORRECT D5 PERSISTENCE STATE | Corrects ONLY the persistence mistake introduced in commit: | 8c531ae8da941e2dc928689215bfbeb225544dce | SCIENTIFIC STATE:,,,results/stage20_1c16_runtime_recovery/stage20_r3d_dir2_directional_semantics.json`; results/stage20_1c16_runtime_recovery/; docs/STAGE20_R3D_DIR2_DIRECTIONAL_SEMANTICS.md; docs/STAGE20_R3D_DIR2_D5_PERSISTENCE_ERRATUM.md,3,907,b98cb19abd864eff7948fcfccc793ff76527261646706c8a362f2cde8be01319,Physical 1-based order is canonical; execution_count is historical evidence only.
405,25,code,Stage20,canonical,"Stage20-1C16-A-DU1 — D-COHORT UNION FORENSIC CHECKPOINT | Purpose: | Diagnose the failed historical assertion: | D changed-position union == {9,10,12,13,14}",,,,3,731,51f2a4880d056d300e35bb8e39f8d1f9fd860057c45976dc0805d42b21cc3991,Physical 1-based order is canonical; execution_count is historical evidence only.
406,26,code,Stage20,recovery,Stage20-1C16-A-R2 — AUTHORITATIVE TRANSITION COHORT MANIFEST RECOVERY | Parent: | 9dd5e663caade7d4fa92e3222387edc82c23cc43 | Scientific state:,manifest_source_faithful_recovered.json; STAGE20_1C16A_SOURCE_FAITHFUL_MANIFEST_RECOVERY.md,,,3,1178,c73de8cb050aaacff4c8525c65a84e33256e2cdd1fd07d6ca6acb23c0c494e45,Physical 1-based order is canonical; execution_count is historical evidence only.
407,27,code,Stage20,canonical,Stage20-1C16-B — TRANSITION-COHORT TCP PACKET GEOMETRY | Parent: | ea8e5bf3b74eda2c0e7043817acb98eb50ba1bce | Scope:,,,,3,1610,d8373e10e1d017a275cc20803fe86a09c3ab5050ba44b4dd30d6a8fa419b10fc,Physical 1-based order is canonical; execution_count is historical evidence only.
408,28,code,Stage20,repair,Stage20-1C16-C — PACKET-GEOMETRY SIGN / POSITION PHENOTYPE | Parent: | f1e426c54718aaa5970ff63acbb87021c5701118 | Purpose:,,,,3,1522,c4c1c7a9dc803af9ba17632fac8ad564dc87d5f413e5fcd8f50599d72bdfc0c1,Physical 1-based order is canonical; execution_count is historical evidence only.
409,29,code,Stage20,canonical,Stage20-1C16-D0 — MECHANISM SEARCH BUDGET / STOPPING-RULE LOCK | Parent: | 6d1c0189f0ff53304a6d2abe2c70a87b6d76edee | Freeze the meta-level stopping rule BEFORE testing any additional,,,,3,868,b678cccdb6c9db1b90b03c3dc0e6b0f253975d00cd791c9b426793263698618f,Physical 1-based order is canonical; execution_count is historical evidence only.
410,30,code,Stage20,canonical,Stage20-1C16-D1 — M1 EXACT TEST | Candidate: | M1_GT_CAPTURE_BEYOND_DECLARED_IPV4 | Parent:,stage20_development_sources/,,,3,1343,281c5cdaf97aa82d351023314730ec18f713f7ef6f087693169dda479cae9d28,Physical 1-based order is canonical; execution_count is historical evidence only.
411,31,code,Stage20,canonical,Stage20-1C16-D2 + D3 | FINAL PRE-REGISTERED MECHANISM TEST + AUTOMATIC SEARCH CLOSURE | Parent: | 8a6e6320bc8420124cbf79e2c87b0e58ab8d605e,stage20_development_sources/; baseline/V1 TCP payload disagreement is exactly,,,3,2006,b5d07737f1541576f684aebb20853de9dbc7a76166773f09f3d1dfae5cc71633,Physical 1-based order is canonical; execution_count is historical evidence only.
412,32,code,Stage20,canonical,Stage20-1D0 — PACKET-IMAGE REPRESENTATION SELECTION PROTOCOL LOCK | Parent: | 9d531d5c6bb7f0bde05a07cdae247af319affed1 | Freeze representation decisions and deterministic dimension-selection,,,,3,1174,76da39e39bf1cc5ea510420e5ae48d7c4fb8efdfb1dcbf5ed0101d41966a3402,Physical 1-based order is canonical; execution_count is historical evidence only.
413,34,code,Stage20,canonical,Stage20-1D1-S — STORAGE-AWARE SEQUENTIAL TRAIN PROFILING PROTOCOL LOCK | Parent: | 89c9742a0a62d6d754dcc1a3d4f7810002079fd3 | Freeze the operational workflow required by Kaggle storage constraints.,,,,3,1295,db6561cee0ab18c2bea0d051ee02a4d10c179d577e250e6cf317b8416fb4cf71,Physical 1-based order is canonical; execution_count is historical evidence only.
414,35,code,Stage20,canonical,Stage20-1D2-M — MONDAY EXACT TRAIN GEOMETRY PROFILE | Parent: | c7882eb17be1ad8bb67d57fb7a20dbc578f9b9ea | INPUT:,stage20_development_sources/; DOWNLOAD/VERIFY TUESDAY ONLY,,,5,2555,f3013d101d16d185f92621f47f39bb4faf23b2ddc2250ad2e2963d7323cfd7f4,Physical 1-based order is canonical; execution_count is historical evidence only.
415,36,code,Stage20,canonical,Stage20-1D2-M-S1 — MONDAY STORAGE-RELEASE DIAGNOSTIC | Parent: | 8b680b4c98173bd0a64dc3ec5daa267c341f9f7e | Monday scientific profile is already remotely durable and Monday pathname,stage20_development_sources/,,,3,1177,d01cd7ee60fc068a96bcb8464d54f73947881422d5a4b80fa80174334466913a,Physical 1-based order is canonical; execution_count is historical evidence only.
416,37,code,Stage20,canonical,"Stage20-1D2-M-S2 — RELEASE VERIFIED MONDAY HUGGING FACE CACHE STORAGE | Parent: | c3355498ea4a6529889a24888ab4ddb4d1bd12a4 | Stage20-1D2-M-S1 proved that Monday's original working-source path is gone,",,,,3,1225,c0cc2303b6c58ec0bbddf0f609de0b0d16528eb4dbdb29975a08d55497ddc4d1,Physical 1-based order is canonical; execution_count is historical evidence only.
417,38,code,Stage20,canonical,Stage20-1D2-T — TUESDAY EXACT TRAIN GEOMETRY PROFILE | Parent: | 49352cb71aafdeb5ef3ebdba5e7b67c139c36507 | WORKFLOW,stage20_development_sources/,,,7,3255,ae422d81bdaac78e08510bb581a521821038c1095e64264d53b1b28afedaa5cc,Physical 1-based order is canonical; execution_count is historical evidence only.
418,39,code,Stage20,canonical,Stage20-1D2-W — WEDNESDAY EXACT TRAIN GEOMETRY PROFILE | Parent: | d9389ade9458e5206091103bcb8e61ddbbdf7de3 | FINAL DAILY TRAIN PROFILE.,stage20_development_sources/,,,7,3114,d1e2f01305d4693f3d95d25d2a84253c10a8d1d6852c48595ad59e7087d38504,Physical 1-based order is canonical; execution_count is historical evidence only.
419,,code,Stage20,canonical,Stage20-1D3 — COMBINED TRAIN GEOMETRY + NUMERIC DIMENSION FREEZE | Parent: | 6bc24033d781975df7edd924f432dbfb66107183 | INPUTS — DURABLE EXACT TRAIN DAILY PROFILES ONLY,,,,0,1892,dfc3d2e67911f5c911b38536b0dd06665837436dcef4be4716ac6052d2736cbd,Physical 1-based order is canonical; execution_count is historical evidence only.
420,40,code,Stage20,canonical,Stage20-1D3 — COMBINED TRAIN GEOMETRY + NUMERIC DIMENSION FREEZE | Parent: | 6bc24033d781975df7edd924f432dbfb66107183 | INPUTS:,,,,3,1907,bc444047368fa9c8e6d0c4b99da4fba3d9955c2c97ef2124c6cacb3f451ebd85,Physical 1-based order is canonical; execution_count is historical evidence only.
421,41,code,Stage20,canonical,Stage20-1D4-A — FIXED PACKET-IMAGE ENCODER VERIFICATION PROTOCOL LOCK | Parent: | 314c128a0fe2091bd0784a8e904efe6435af925c | Freeze the exact packet-image encoder implementation semantics and the,Verify IPv4 ID/checksum/address masks plus TCP seq/ack/checksum masks while ports/flags/window/payload remain unchanged.,,,3,1125,d24928694fa95741cc882e849fb51a85e0bcce5c9f9f8c21a65c4ec2510d8f25,Physical 1-based order is canonical; execution_count is historical evidence only.
422,42,code,Stage20,canonical,Stage20-1D4-B — EXECUTE FIXED PACKET-IMAGE ENCODER VERIFICATION | Parent: | 1924769e13d0cc229729b77d40c67d17fe17e944 | Inherits:,stage20_development_sources/,"Stage20 frozen packet-image encoder.\n\nScientific lock:\n    Stage20-1D0\nNumeric geometry freeze:\n    Stage20-1D3\nVerification protocol:\n    Stage20-1D4-A\n\nThis module contains no label logic and no train/validation/holdout branching.\n; \n    start = max(0, int(start))\n    end = min(len(buf), int(end))\n\n    if end <= start:\n        return\n\n    for pos in range(start, end):\n        buf[pos] = 0\n        masked_positions.add(pos)\n\n\ndef mask_ipv4_packet(\n    packet: bytes | bytearray | memoryview,\n) -> tuple[bytes, frozenset[int]]:\n; \n    source = bytes(packet)\n\n    if len(source) < 20:\n        raise ValueError(; )\n\n    version_ihl = source[0]\n    version = version_ihl >> 4\n    ihl_words = version_ihl & 0x0F\n    ihl_bytes = ihl_words * 4\n\n    if version != 4:\n        raise ValueError(; )\n\n    if ihl_bytes < 20:\n        raise ValueError(; )\n\n    if len(source) < ihl_bytes:\n        raise ValueError(; Frozen model-boundary scaling: float(image) / 255.0.; \n    array = np.asarray(image)\n\n    if array.shape != (ROWS, COLS):\n        raise ValueError(\n            f",,7,3688,d519ab3bbec803959ccd7963e910cbcf4af3b8834a94a940e587e131519b93b6,Physical 1-based order is canonical; execution_count is historical evidence only.
423,43,code,Stage20,canonical,Stage20-1E0 — ARCHITECTURE + TRAINING PROTOCOL LOCK | Parent: | 3777fdfa60543d601a41074f0ef93c7cd46876d4 | Freeze the complete supervised packet-image learning protocol BEFORE:,"Stage20 frozen masked 2D-CNN architecture.\n\nArchitecture freeze:\n    Stage20-1E0\n\nRepresentation:\n    Stage20-1D0 / Stage20-1D3 / Stage20-1D4-B\n\nThe packet-byte image remains one channel. The Boolean padding mask is a\nseparate auxiliary tensor used only for deterministic gating and masked global\naverage pooling; it is not a second packet-byte channel.\n; \n\nfrom __future__ import annotations\n\nimport torch\nfrom torch import nn\nfrom torch.nn import functional as F\n\n\nROWS = 64\nCOLS = 256\nIMAGE_CHANNELS = 1\n\nMODEL_NAME =; \nEXPECTED_TRAINABLE_PARAMETERS = 93025\n\n\nclass Stage20MaskedCNNv1(nn.Module):\n; \n\n        for conv in (\n            self.conv1,\n            self.conv2,\n            self.conv3,\n        ):\n            nn.init.kaiming_normal_(\n                conv.weight,\n                mode=; ,\n                nonlinearity=",,,3,2087,9fa14edbb0e3c7247f8f0b195a1798751d48ee530287bad655102098a3cc0ca5,Physical 1-based order is canonical; execution_count is historical evidence only.
424,47,code,Stage20,repair,Stage20-1E1-M-R3 — MATERIALIZE + AUDIT MONDAY SUPERVISED COMPACT CORPUS | Parent: | a66be0b93b24a376b4032225b0b11e76fdf1d6d5 | Frozen by Stage20-1E0:,"Scapy RawPcapReader/Ether/IP/TCP/UDP are required; stage20_development_sources/; Stage20 compact packet-image corpus loader.\n\nFormat frozen by Stage20-1E0.\n\nThe corpus does not persist dense zero padding.  It stores only the authentic,\nalready-masked retained byte prefixes plus a [N,64] uint16 length matrix.\nThis loader reconstructs exactly the 64x256 uint8 image and Boolean padding\nmask expected by the frozen Stage20 encoder/model.\n; \n\nfrom __future__ import annotations\n\nfrom pathlib import Path\n\nimport numpy as np\n\n\nROWS = 64\nCOLS = 256\n\n\nclass Stage20CompactCorpus:\n; \n\n    def __init__(self, directory: str | Path) -> None:\n        self.directory = Path(directory)\n\n        self.encoded_path = (\n            self.directory\n            /; \n        )\n\n        self.lengths_path = (\n            self.directory\n            /; \n        )\n\n        self.offsets_path = (\n            self.directory\n            /; \n        )\n\n        self.labels_path = (\n            self.directory\n            /; \n        )\n\n        for path in (\n            self.encoded_path,\n            self.lengths_path,\n            self.offsets_path,\n            self.labels_path,\n        ):\n            if not path.is_file():\n                raise FileNotFoundError(path)\n\n        self.packet_lengths = np.load(\n            self.lengths_path,\n            mmap_mode=; ,\n            allow_pickle=False,\n        )\n\n        self.flow_offsets = np.load(\n            self.offsets_path,\n            mmap_mode=; ,\n            allow_pickle=False,\n        )\n\n        self.labels = np.load(\n            self.labels_path,\n            mmap_mode=; ,\n            allow_pickle=False,\n        )\n\n        if (\n            self.packet_lengths.ndim != 2\n            or\n            self.packet_lengths.shape[1] != ROWS\n        ):\n            raise ValueError(\n; ... (+13 more)",,,7,6197,0ae787d2cdfa6579bf286a44abe3d1502c2f581b4d18c1db629d478b3d356d2c,Physical 1-based order is canonical; execution_count is historical evidence only.
425,50,code,Stage20,canonical,Stage20-1E1-T-FAST-R1 — MATERIALIZE + AUDIT TUESDAY SUPERVISED COMPACT CORPUS | Parent: | 4dfbed195bf98e2dc2f28c218728f4fc3d77670a | Frozen science inherited from Stage20-1E0 / Stage20-1D2-T:,stage20_1e1m_monday_raw_source_release_receipt.json; Scapy 2.6.1 RawPcapReader/Ether/IP/TCP/UDP are required; stage20_development_sources/; stage20_1e1t_tuesday_raw_source_release_receipt.json; STAGE20_1E1T_TUESDAY_RAW_SOURCE_RELEASE_RECEIPT.md,,,4,5733,cf9c66376527cdce476f86d47473bfabbd7a4945112d5c594b54ddead60d1e28,Physical 1-based order is canonical; execution_count is historical evidence only.
426,51,code,Stage20,recovery,0. EXACT RECOVERY STATE,stage20_1e1t_tuesday_raw_source_release_receipt.json; STAGE20_1E1T_TUESDAY_RAW_SOURCE_RELEASE_RECEIPT.md,stage20_1e1t_tuesday_compact_corpus_manifest.json; \n,,5,1057,4e8c336d19c115172cde220db31cacfac2354ee5993b2e8a67865d758f22978f,Physical 1-based order is canonical; execution_count is historical evidence only.
427,52,code,Stage20,canonical,Stage20-1E1-W — MATERIALIZE + AUDIT WEDNESDAY SUPERVISED COMPACT CORPUS | Parent: | a01365bcc0fb0e142802b542697fa717199ae012 | Frozen science inherited from Stage20-1E0 / Stage20-1D2-W:,stage20_1e1m_monday_raw_source_release_receipt.json; stage20_1e1t_tuesday_raw_source_release_receipt.json; Scapy 2.6.1 RawPcapReader/Ether/IP/TCP/UDP are required; stage20_development_sources/; stage20_1e1w_wednesday_raw_source_release_receipt.json; STAGE20_1E1W_WEDNESDAY_RAW_SOURCE_RELEASE_RECEIPT.md,,,10,5586,cd3596b4a14a1f0359e81a7e4f85ead683e60856962e8679e0f1a8aaf343f794,Physical 1-based order is canonical; execution_count is historical evidence only.
428,53,code,Stage20,repair,"#!/usr/bin/env python3 """""" Stage20-1E1-W documentation-only erratum. Purpose: - Correct two copy-forward mistakes in the human-readable Wednesday raw-source release receipt. - Do NOT modify any scientific JSON, compact corpus, source data, model state, or frozen protocol. Corrections: 1. Remove the false statement that a 250k fast-vs-Scapy equivalence gate passed on Wednesday. Wednesday used full Scapy reference-only execution and no optimized parser/equivalence gate. 2. Correct the scientific-s",STAGE20_1E1W_WEDNESDAY_RAW_SOURCE_RELEASE_RECEIPT.md; stage20_1e1w_wednesday_raw_source_release_receipt.json,,,1,169,e37bcd08575c39e5be38572cf07b39213025abe453e90078a15c9fb5d56f3cd7,Physical 1-based order is canonical; execution_count is historical evidence only.
429,54,code,Stage20,repair,Authoritative JSON must remain correct and untouched.,STAGE20_1E1W_WEDNESDAY_RAW_SOURCE_RELEASE_RECEIPT.md; stage20_1e1w_wednesday_raw_source_release_receipt.json,,,3,143,0595c962ac0e437a0d905230f0dfff5d97a2871cbeb6361542f72596963df35f,Physical 1-based order is canonical; execution_count is historical evidence only.
430,55,code,Stage20,canonical,Stage20-1E1-V — MATERIALIZE + AUDIT THURSDAY VALIDATION COMPACT CORPUS | Parent: | 0b8a7c9048ea84e7ddce99a5f23b9040204726e0 | Frozen science inherited from Stage20-1E0:,stage20_1e1m_monday_raw_source_release_receipt.json; stage20_1e1t_tuesday_raw_source_release_receipt.json; stage20_1e1w_wednesday_raw_source_release_receipt.json; Scapy 2.6.1 RawPcapReader/Ether/IP/TCP/UDP are required; stage20_development_sources/; stage20_1e1v_thursday_raw_source_release_receipt.json; STAGE20_1E1V_THURSDAY_RAW_SOURCE_RELEASE_RECEIPT.md,,,6,5437,fc99e81641ef232ecead763c3495127569781af3189d5ed45a5cf6bd3b4fcbbe,Physical 1-based order is canonical; execution_count is historical evidence only.
431,56,code,Stage20,repair,"#!/usr/bin/env python3 """""" Stage20-1E1-V — Thursday validation label NULL/schema diagnostic. READ-ONLY diagnostic. - Reads only the already-downloaded pinned Thursday validation parquet files. - Does NOT read the Thursday PCAP. - Does NOT touch the repository. - Does NOT alter compact-corpus staging. - Does NOT access Friday. - Does NOT perform any label repair or filtering decision. Purpose: Characterize exactly why the E1-V label multiset loader encountered NULL Source IP / Destination IP valu",,rows with Source/Destination IP NULL:,,1,253,8faee70a80d19fa48893067f1d88d779de20f9668a239153a3699c78e7cdf940,Physical 1-based order is canonical; execution_count is historical evidence only.
432,57,code,Stage20,repair,Add deterministic physical scan ordinal.,,,,1,205,197b00a0d7d5c2c8d058e327aaf01df0e53ccb14f3fb124a1352f471a08e1f37,Physical 1-based order is canonical; execution_count is historical evidence only.
